epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.34787920117378235,3.297712802886963,1e-04,0.4076450765132904,2.9548797607421875
1,0.3763309419155121,2.8026137351989746,1e-04,0.4451729953289032,2.467144012451172
2,0.40980973839759827,2.420222043991089,1e-04,0.4241071343421936,2.2587149143218994
3,0.4338977038860321,2.1277730464935303,1e-04,0.4790736734867096,1.9090547561645508
4,0.45770639181137085,1.9127382040023804,1e-04,0.4891183078289032,1.7387263774871826
5,0.47366032004356384,1.7453104257583618,1e-04,0.5066964030265808,1.598913311958313
6,0.4896840751171112,1.6173202991485596,1e-04,0.5357142686843872,1.4576036930084229
7,0.5072787404060364,1.5165534019470215,1e-04,0.5500836968421936,1.386899709701538
8,0.5283644795417786,1.4310905933380127,1e-04,0.5657086968421936,1.3088314533233643
9,0.5411415696144104,1.3649343252182007,1e-04,0.5697544813156128,1.2779721021652222
10,0.556152880191803,1.3179196119308472,1e-04,0.5680803656578064,1.2747219800949097
11,0.5709547996520996,1.2660305500030518,1e-04,0.5874720811843872,1.2034791707992554
12,0.5794379711151123,1.2245672941207886,1e-04,0.5915178656578064,1.216760277748108
13,0.5901204347610474,1.1923245191574097,1e-04,0.5922154188156128,1.1760808229446411
14,0.6052016019821167,1.1536221504211426,1e-04,0.599609375,1.1721956729888916
15,0.6141735315322876,1.1326733827590942,1e-04,0.5982142686843872,1.1633650064468384
16,0.6232501268386841,1.1053141355514526,1e-04,0.6142578125,1.1270169019699097
17,0.6342118978500366,1.076736569404602,1e-04,0.615234375,1.122378945350647
18,0.6418222784996033,1.050452709197998,1e-04,0.6150948405265808,1.1444097757339478
19,0.6522254943847656,1.0270503759384155,1e-04,0.6216517686843872,1.1108267307281494
20,0.6573224067687988,1.0100743770599365,1e-04,0.6201171875,1.1274782419204712
21,0.6720893979072571,0.9769712090492249,1e-04,0.6252790093421936,1.1089597940444946
22,0.6720544695854187,0.9656233191490173,1e-04,0.6273716688156128,1.1095157861709595
23,0.6874498128890991,0.937325656414032,1e-04,0.6328125,1.0913869142532349
24,0.6941525340080261,0.9219484329223633,1e-04,0.6392298936843872,1.0726600885391235
25,0.6987257599830627,0.9023953676223755,1e-04,0.6343470811843872,1.0989134311676025
26,0.7058125138282776,0.8813462257385254,1e-04,0.6328125,1.0894577503204346
27,0.7151684165000916,0.8666834235191345,1e-04,0.6343470811843872,1.1117310523986816
28,0.7212079167366028,0.8435220718383789,1e-04,0.6456473469734192,1.0831574201583862
29,0.7290626764297485,0.8284900784492493,1e-04,0.6354631781578064,1.1285679340362549
30,0.7350671887397766,0.815507709980011,1e-04,0.6470423936843872,1.0754070281982422
31,0.7573049664497375,0.7545850276947021,2e-05,0.6541573405265808,1.0920326709747314
32,0.7659277319908142,0.7280498147010803,2e-05,0.6576451063156128,1.0913439989089966
33,0.7728748321533203,0.709098219871521,2e-05,0.658203125,1.0897448062896729
34,0.7806597948074341,0.692840039730072,2e-05,0.6576451063156128,1.102335810661316
35,0.7808692455291748,0.6881133913993835,2e-05,0.65625,1.1026227474212646
36,0.7838715314865112,0.6759741306304932,2e-05,0.6630859375,1.0818684101104736
37,0.7931227087974548,0.6580067276954651,4e-06,0.6632254719734192,1.1001039743423462
38,0.7902600765228271,0.6633514165878296,4e-06,0.6604352593421936,1.0995296239852905
39,0.7883749604225159,0.6549784541130066,4e-06,0.6595982313156128,1.1020452976226807
40,0.7927736043930054,0.649359941482544,4e-06,0.662109375,1.0976296663284302
41,0.7968930006027222,0.6458256244659424,4e-06,0.6622489094734192,1.1010056734085083
42,0.7925292253494263,0.6511278748512268,4e-06,0.6602957844734192,1.1073445081710815
43,0.7980799674987793,0.6400556564331055,8e-07,0.6628069281578064,1.1029006242752075
44,0.7964740991592407,0.6458712220191956,8e-07,0.6628069281578064,1.1033753156661987
45,0.7976959347724915,0.6425104141235352,8e-07,0.6630859375,1.1022511720657349
46,0.7931576371192932,0.6440464854240417,8e-07,0.6626673936843872,1.1030476093292236
47,0.7979403138160706,0.6389986872673035,8e-07,0.6628069281578064,1.103700041770935
48,0.7979053854942322,0.63567715883255,8e-07,0.6628069281578064,1.1044175624847412
49,0.7952871322631836,0.643907904624939,1.6e-07,0.6639229655265808,1.1032077074050903
50,0.7935416102409363,0.6480200290679932,1.6e-07,0.6635044813156128,1.1045935153961182
51,0.80132657289505,0.6386802196502686,1.6e-07,0.6635044813156128,1.1028010845184326
52,0.797346830368042,0.6391070485115051,1.6e-07,0.6637834906578064,1.1051013469696045
53,0.7979403138160706,0.6394528746604919,1.6e-07,0.6630859375,1.1042571067810059
54,0.797346830368042,0.6415173411369324,1.6e-07,0.6626673936843872,1.1043938398361206
55,0.7971723079681396,0.6412651538848877,3.2e-08,0.6635044813156128,1.1027694940567017
56,0.7965438961982727,0.6461000442504883,3.2e-08,0.6633649468421936,1.1037380695343018
57,0.7986733913421631,0.6348221898078918,3.2e-08,0.6635044813156128,1.1036268472671509
58,0.7971024513244629,0.6424691081047058,3.2e-08,0.6629464030265808,1.1036646366119385
59,0.7997207045555115,0.6401891112327576,3.2e-08,0.6640625,1.1046421527862549
