id,created_at,favorite_count,retweet_count,text
1598568011115683840,2022-12-02 06:41:28+00:00,25005,1722,"It’s official! I am a loud and proud Noisemaker. Stoked to be a part of India’s No. 1* Smartwatch Brand. Keep up with the Noise, kyunki #ShorRukegaNahi! 
#NoisemakerVirat
@gonoise #ad

*IDC Worldwide Quarterly Wearable Device Tracker, 3Q22 https://t.co/Ab9jdySU9H"
1598567653802934273,2022-12-02 06:40:03+00:00,20840,1378,"Well, looks like while I was away, my new team was at play and they’ve made Chiku the talk of the town! @gonoise, you have done what you do best. Made a lot of Noise here!
Thanks for this grand welcome! ☺ https://t.co/f8i6KoMiyr"
1597455394317950976,2022-11-29 05:00:19+00:00,33373,2019,"Earn up to 1.1 Cr more than your peers over a period of 10 years. Invest in upskilling - the only zero-risk, high-returns asset in the market. Know more: https://t.co/6G8ZBgO4pf

#ItPaysToUpskill #PowerAhead #GreatLearning #ad https://t.co/oipEJG3tZC"
1596735026015531008,2022-11-27 05:17:50+00:00,36198,2134,"Introducing the O’cean Energy Drink Sustainable Edition in partnership with @BallCorpHQ. The cans are made from at least 70% aluminium and can be recycled forever. So for every can you drink of this sustainable edition, Ball Beverage collects &amp; recycles one @OceanBeverages
#Ad https://t.co/0T2AI62xPC"
1596365751476068353,2022-11-26 04:50:28+00:00,285188,25065,October 23rd 2022 will always be special in my heart. Never felt energy like that in a cricket game before. What a blessed evening that was 💫🙏 https://t.co/rsil91Af7a
1594952706480816128,2022-11-22 07:15:32+00:00,327081,14890,💫 https://t.co/fHSCJ4zWqO
1594255637063827456,2022-11-20 09:05:38+00:00,299409,24600,Numero Uno showing why he's the best in the world. Didn't watch it live but I'm sure this was another video game innings by him. 😂 @surya_14kumar
1594239634019880961,2022-11-20 08:02:02+00:00,261198,12872,☀️😊 https://t.co/vMDmuWUF0Q
1594202556854841348,2022-11-20 05:34:43+00:00,19464,1278,"Do you think you can match my Karare moves? Then take the #KarareBeatsChallenge on Instagram &amp; win an exclusive bat signed by me.

Try the Karare Beats filter now &amp; send your entries. Tag your friends now!

Filter Link: https://t.co/30X1eG3qRu

#Collab #TooYumm https://t.co/1hYAk3SPd6"
1592744151971672065,2022-11-16 04:59:32+00:00,39584,2369,"Come and experience the Audi lifestyle with Audi Club Rewards. It’s a great way to indulge your senses with the finest of services and immerse yourself in luxury. Come and join the club today.

#AudiClubRewards #FutureIsAnAttitude #ad 
@AudiIN https://t.co/RTlfiTiQsz"
1590928989379792897,2022-11-11 04:46:43+00:00,130212,10271,Thank you to all our fans who turned up in huge numbers throughout to support us in the stadiums. Always feel proud to wear this jersey and represent our country 🇮🇳💙
1590928986150174720,2022-11-11 04:46:42+00:00,293866,22530,We leave Australian shores short of achieving our dream and with disappointment in our hearts but we can take back a lot of memorable moments as a group and aim to get better from here on. https://t.co/l5NHYMZXPA
1589878886795726850,2022-11-08 07:13:59+00:00,191869,14515,"Enjoying the process. 🙌♥️
.
#𝗩𝗜deo https://t.co/DmTpAarmzi"
1589221918351458304,2022-11-06 11:43:26+00:00,233784,19398,➡️#semifinals 🇮🇳 https://t.co/1mxL8lSrpL
1589109810234286080,2022-11-06 04:17:57+00:00,289555,18531,Blessed to receive all your love. Thank you for your warm wishes. ❤️
1587790816679907328,2022-11-02 12:56:45+00:00,290964,24980,Character &amp; Conviction. 💪 https://t.co/WuYIpr99Xn
1587009072863141890,2022-10-31 09:10:22+00:00,272478,13310,Touchdown Adelaide 🇮🇳🫶 https://t.co/1leNe0jN8L
1586747067715624961,2022-10-30 15:49:15+00:00,242947,13791,Tough day today but we focus on the next one. ✌️🇮🇳 https://t.co/REJKpvx82y
1585583813211848704,2022-10-27 10:46:54+00:00,319686,25632,Another strong result. 🇮🇳💪 https://t.co/J5gKb6za8F
